1783117583,2, 48402, 0
1783117584,2, 48402, 0
1783117585,2, 48402, 0
1783117586,4, 48400, 0
1783117587,4, 48400, 0
1783117588,24094, 24310, 52
1783117589,24094, 24310, 0
1783117590,24094, 24310, 0
1783117591,24094, 24310, 0
1783117592,24094, 24310, 0
1783117593,24094, 24310, 0
1783117594,24094, 24310, 19
1783117595,24094, 24310, 0
1783117596,24098, 24306, 0
1783117597,24110, 24294, 0
1783117598,24110, 24294, 0
1783117599,24110, 24294, 0
1783117600,24110, 24294, 0
1783117601,18446, 29958, 4
1783117602,18456, 29948, 7
1783117604,18456, 29948, 7
1783117605,18456, 29948, 6
1783117606,18456, 29948, 6
1783117607,18456, 29948, 7
1783117608,7856, 40548, 6
1783117609,4944, 43460, 100
1783117610,1316, 47088, 0
1783117611,6972, 41432, 16
1783117612,13876, 34528, 17
1783117613,20814, 27590, 11
1783117614,28856, 19548, 16
1783117615,36226, 12178, 16
1783117616,39446, 8958, 100
1783117617,39446, 8958, 100
1783117618,39446, 8958, 100
1783117619,39446, 8958, 100
1783117620,39446, 8958, 100
1783117621,39446, 8958, 100
1783117622,39446, 8958, 100
1783117623,39446, 8958, 100
1783117624,39446, 8958, 100
1783117625,39446, 8958, 100
1783117626,39446, 8958, 100
1783117627,39446, 8958, 100
1783117628,39446, 8958, 100
1783117629,39446, 8958, 7
1783117630,39446, 8958, 7
1783117631,39446, 8958, 7
1783117632,39446, 8958, 7
1783117633,39446, 8958, 7
1783117634,39446, 8958, 7
1783117635,39446, 8958, 7
1783117636,39446, 8958, 7
1783117637,39446, 8958, 7
1783117638,39446, 8958, 7
1783117639,39446, 8958, 6
1783117640,39446, 8958, 6
1783117641,39446, 8958, 6
1783117642,39446, 8958, 6
1783117644,39446, 8958, 6
1783117645,39446, 8958, 6
1783117646,39446, 8958, 6
1783117647,5436, 42968, 77
1783117648,6070, 42334, 100
1783117649,5226, 43178, 16
1783117650,13038, 35366, 15
1783117651,20930, 27474, 15
1783117652,28250, 20154, 15
1783117653,35754, 12650, 14
1783117654,39322, 9082, 100
1783117655,39322, 9082, 100
1783117656,39322, 9082, 100
1783117657,39322, 9082, 100
1783117658,39322, 9082, 100
1783117659,39322, 9082, 100
1783117660,39322, 9082, 100
1783117661,39322, 9082, 100
1783117662,39322, 9082, 100
1783117663,39322, 9082, 100
1783117664,39322, 9082, 100
1783117665,39322, 9082, 100
1783117666,39322, 9082, 100
1783117667,39322, 9082, 6
1783117668,39322, 9082, 6
1783117669,39322, 9082, 6
1783117670,39322, 9082, 6
1783117671,39322, 9082, 6
1783117672,39322, 9082, 6
1783117673,39322, 9082, 6
1783117674,39322, 9082, 6
1783117675,39322, 9082, 6
1783117676,39322, 9082, 6
1783117677,39322, 9082, 6
1783117678,39322, 9082, 7
1783117679,39322, 9082, 6
1783117680,39322, 9082, 6
1783117681,39322, 9082, 7
1783117683,39322, 9082, 7
1783117684,39322, 9082, 6
1783117685,5772, 42632, 100
1783117686,1784, 46620, 0
1783117687,1784, 46620, 0
1783117688,1784, 46620, 0
1783117689,1784, 46620, 0
1783117690,1784, 46620, 0
1783117691,1784, 46620, 0
